uuid,major,minor,x,y,z,floor,power
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,42,1.79281579372,-73.7789701404,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,43,-2.66878861248,-93.4123347626,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,44,5.83789715806,-47.4910238487,0.0,7.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,45,-0.907969688457,-100.826989922,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,46,-0.671755718513,-130.731687929,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,47,2.97579947645,-115.183399024,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,48,3.31153465626,-128.945878375,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,49,-6.550218264,-66.4554199621,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,51,-9.77482956925,-68.7082694496,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,52,-20.683874189,-68.5983174587,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,53,-32.2524629843,-68.6665754024,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,54,-38.7227113432,-66.2340155432,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,55,-43.8132448622,-68.5167323015,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,56,-14.9729184786,-66.2731426221,0.0,3.0,-8
